chip,x,y
1,15,4
2,3,18
3,15,18
4,8,14
5,13,1
6,17,3
7,5,14
8,8,9
9,17,0
10,3,9
11,11,6
12,9,14
13,11,16
14,18,6
15,9,9
16,2,4
17,5,18
18,7,8
19,0,7
20,7,16
21,5,5
22,9,10
23,19,15
24,12,16
25,10,9
26,16,14
27,19,4
28,14,5
29,11,7
30,6,10
31,18,7
32,8,8
33,0,9
34,10,7
35,13,14
36,2,18
37,4,8
38,18,19
39,12,11
40,11,14
41,1,18
42,6,0
43,16,3
44,10,5
45,16,6
46,9,17
47,7,19
48,18,15
49,2,13
50,8,6
51,6,15
52,7,12
53,15,19
54,4,7
55,15,15
56,7,5
57,17,17
58,2,2
59,5,10
60,14,4
61,10,19
62,17,10
63,5,15
64,11,0
65,8,15
66,10,13
67,17,5
68,3,5
69,10,8
70,19,0
71,16,8
72,19,7
73,13,2
74,9,6
75,1,19
76,15,13
77,5,19
78,8,3
79,16,0
80,13,19
81,0,12
82,6,11
83,15,12
84,19,18
85,1,4
86,1,17
87,13,12
88,4,17
89,2,15
90,13,0
91,0,15
92,15,8
93,0,11
94,3,4
95,8,13
96,2,16
97,8,4
98,13,4
99,4,10
100,13,10
101,8,10
102,11,9
103,4,2
104,7,1
105,4,11
106,11,8
107,17,12
108,5,0
109,3,13
110,3,17
111,3,10
112,19,14
113,11,11
114,10,11
115,14,14
116,3,0
117,4,9
118,0,1
119,17,18
120,2,12
121,3,16
122,5,13
123,15,2
124,12,7
125,1,13
126,6,3
127,1,14
128,12,13
129,6,19
130,9,0
131,17,6
132,1,0
133,11,13
134,6,17
135,9,18
136,7,13
137,4,4
138,5,1
139,9,13
140,6,13
141,12,0
142,10,0
143,18,12
144,2,10
145,14,0
146,10,10
147,2,19
148,1,3
149,16,1
150,16,4
