chip_a,chip_b
42,38
26,41
16,41
16,76
73,88
99,56
15,33
86,10
6,66
34,33
22,87
99,21
100,51
68,37
68,1
1,33
20,23
56,13
53,55
8,34
52,38
42,69
16,34
15,57
36,18
36,47
61,33
48,97
47,31
51,70
21,88
18,26
84,73
85,52
45,96
72,69
15,27
87,85
48,76
76,40
9,92
15,29
41,17
44,29
87,42
81,9
28,53
10,91
66,11
3,51
79,8
25,10
81,48
63,13
12,70
79,86
60,54
79,63
74,36
21,1
39,41
72,52
87,8
38,13
68,99
57,34
98,58
7,8
94,17
76,32
14,89
31,76
39,60
6,25
68,6
18,41
95,44
100,51
63,89
20,21
77,48
20,10
75,4
26,1
90,15
65,62
73,67
51,49
50,96
72,48
11,91
62,88
46,22
68,93
26,40
65,75
73,64
21,43
78,3
79,50
57,67
57,14
91,83
28,73
5,36
84,47
10,71
56,33
44,38
70,100
37,38
41,17
74,89
78,8
100,25
42,53
76,95
8,34
89,45
100,66
63,69
10,49
64,28
67,37
39,45
41,73
18,28
50,3
49,34
46,20
88,12
87,84
46,15
67,27
70,45
59,68
15,99
50,32
93,20
84,9
26,68
96,54
56,14
39,51
88,100
19,6
63,79
92,18
100,74
82,26
24,99
39,78
35,52
84,9
100,24
32,87
84,46
91,83
30,60
33,27
19,2
90,43
45,89
42,12
24,68
56,44
1,29
4,9
62,68
65,54
70,89
52,70
63,96
55,93
75,55
7,73
90,41
88,13
5,88
15,37
18,90
1,94
31,40
8,61
17,77
39,62
71,53
20,24
88,100
83,97
23,80
98,86
75,95
61,52
77,31
55,10
73,32
3,11
87,71
24,51
