chip_a,chip_b
32,45
23,46
17,42
1,28
23,14
7,46
13,23
46,31
15,7
36,40
7,8
23,7
42,2
30,31
14,27
17,19
42,14
30,20
42,21
27,39
6,43
15,32
19,27
46,37
31,5
10,1
23,25
44,40
31,29
6,48
10,8
28,4
50,37
50,21
33,18
40,5
49,6
37,17
41,12
26,45
25,7
5,32
33,43
25,23
45,10
8,17
36,44
33,26
4,7
41,48
4,12
5,33
14,17
14,15
48,42
31,23
2,10
6,42
8,6
24,12
7,35
31,44
48,49
13,49
50,44
47,22
40,43
35,42
26,48
4,17
50,3
6,45
17,28
24,33
10,33
14,20
5,20
27,9
19,21
16,41
47,30
5,42
14,7
28,16
8,23
47,29
25,18
43,8
2,5
28,49
32,20
12,35
31,41
14,32
49,13
16,38
14,46
1,27
12,39
46,44
